Test.data,Classifier,Feature.Selection,Features,Additional.Information,Discretisation.method,Discretisation.width.number,Number.of.features,AUC,fscore2,precision,recall,Features
Mix,RF,Forward MRMR pearson,Original Radiomics Features,Empty,FBW,0.5,6,0.55,0.24,0.17,0.27,"GLCM_infoCorr1_0.5, IVH_RVRI_70_0.5, GLSZM_HILAE_0.5, IH_maxGradI_0.5, Shape_volumeDensityBB_0.5, GLDZM_DZNN_0.5"
Mix,RF,Forward MRMR pearson,Original Radiomics Features,Empty,FBW,0.2,2,0.58,0.29,0.2,0.33,"IVH_AVRI_50_0.2, IVH_RVRI_60_0.2"
Mix,RF,Forward MRMR pearson,Original Radiomics Features,Empty,FBW,0.1,4,0.54,0.16,0.13,0.18,"IH_maxGrad_0.1, NGTDM_contrast_0.1, IH_mode_0.1, IVH_RVRI_60_0.1"
Mix,RF,Forward MRMR pearson,Original Radiomics Features,Empty,FBW,0.05,3,0.41,0.17,0.1,0.2,"IVH_AVRI_50_0.05, GLCM_homogeneity1_0.05, IVH_RVRI_60_0.05"
Mix,RF,Forward MRMR pearson,Original Radiomics Features,Empty,FBN,64,3,0.69,0.37,0.26,0.42,"GLDZM_DZNN_64, GLCM_clusProm_64, IVH_RVRI_60_64"
Mix,RF,Forward MRMR pearson,Original Radiomics Features,Empty,FBN,32,4,0.45,0.06,0.05,0.06,"GLSZM_HILAE_32, GLCM_maxProb_32, GLCM_clusProm_32, IVH_RVRI_60_32"
Mix,RF,Forward MRMR pearson,Tumor to Liver ratio Radiomics Features,Empty,FBW,0.5,10,0.64,0.42,0.3,0.48,"GLCM_clusShade_0.5, NGLDM_LGSDE_0.5, GLSZM_SZN_0.5, IH_skewness_0.5, Fractal_sd_0.5, Shape_leastaxislength_0.5, IVH_AVRI_90_0.5, IVH_AIRV_40_0.5, Shape_areaDensityBB_0.5, IVH_RVRI_50_0.5"
Mix,RF,Forward MRMR pearson,Tumor to Liver ratio Radiomics Features,Empty,FBW,0.2,9,0.56,0.4,0.32,0.44,"Shape_surfVolRatio_0.2, GLCM_infoCorr2_0.2, IVH_TLGRI_90_0.2, Fractal_sd_0.2, Shape_leastaxislength_0.2, GLSZM_HISAE_0.2, IH_skewness_0.2, Shape_areaDensityBB_0.2, IVH_RVRI_50_0.2"
Mix,RF,Forward MRMR pearson,Tumor to Liver ratio Radiomics Features,Empty,FBW,0.1,10,0.59,0.37,0.29,0.4,"GLCM_clusShade_0.1, IH_skewness_0.1, IVH_RVRI_40_0.1, GLDZM_DZNN_0.1, GLCM_infoCorr2_0.1, Shape_leastaxislength_0.1, IVH_AVRI_90_0.1, IVH_AIRV_40_0.1, Shape_areaDensityBB_0.1, IVH_RVRI_50_0.1"
Mix,RF,Forward MRMR pearson,Tumor to Liver ratio Radiomics Features,Empty,FBW,0.05,2,0.5,0.26,0.17,0.3,"GLCM_infoCorr2_0.05, IVH_RVRI_50_0.05"
Mix,RF,Forward MRMR pearson,Tumor to Liver ratio Radiomics Features,Empty,FBN,64,7,0.68,0.36,0.42,0.36,"IH_p90_64, GLCM_clusShade_64, IH_maxGrad_64, IVH_AVRI_90_64, IVH_AIRV_40_64, Shape_areaDensityBB_64, IVH_RVRI_50_64"
Mix,RF,Forward MRMR pearson,Tumor to Liver ratio Radiomics Features,Empty,FBN,32,8,0.62,0.38,0.33,0.4,"Stats_skewness_32, IH_maxGrad_32, IVH_AVRI_90_32, NGTDM_strength_32, LocInt_peakLocal_32, GLCM_sumSquares_32, Shape_volumeDensityBE_32, IVH_RVRI_50_32"
Mix,RF,Backward MRMR pearson,Original Radiomics Features,Empty,FBW,0.5,10,0.57,0.28,0.19,0.32,"GLDZM_DZNN_0.5, GLDZM_DZV_0.5, GLDZM_LDE_0.5, GLDZM_SDE_0.5, IVH_RVRI_10_0.5, IVH_RVRI_50_0.5, IVH_RVRI_60_0.5, IVH_RVRI_70_0.5, IVH_RVRI_90_0.5, Shape_elongation_0.5"
Mix,RF,Backward MRMR pearson,Original Radiomics Features,Empty,FBW,0.2,6,0.51,0.18,0.13,0.2,"IVH_RVRI_10_0.2, IVH_RVRI_50_0.2, IVH_RVRI_60_0.2, IVH_RVRI_70_0.2, Shape_elongation_0.2, Shape_volumeDensityBB_0.2"
